dti,int_rate,annual_inc,loan_amnt,year,period_label
36.64,29.69,57618.0,11650.0,2017,monitoring (2015-18)
26.32,17.27,85000.0,27000.0,2015,monitoring (2015-18)
21.13,25.82,72800.0,14125.0,2017,monitoring (2015-18)
14.31,13.49,41769.36,17525.0,2016,monitoring (2015-18)
13.84,6.72,86000.0,8000.0,2017,monitoring (2015-18)
14.67,10.42,40000.0,5000.0,2017,monitoring (2015-18)
35.45,30.94,50000.0,10000.0,2017,monitoring (2015-18)
36.26,28.72,53000.0,24000.0,2018,monitoring (2015-18)
25.92,19.99,44077.0,8000.0,2016,monitoring (2015-18)
23.83,21.99,31628.0,13250.0,2015,monitoring (2015-18)
12.97,8.39,63000.0,11000.0,2016,monitoring (2015-18)
18.84,19.52,129000.0,35000.0,2015,monitoring (2015-18)
11.18,18.25,295000.0,25000.0,2015,monitoring (2015-18)
19.75,9.99,48000.0,10000.0,2015,monitoring (2015-18)
7.9,6.97,24000.0,6000.0,2016,monitoring (2015-18)
20.49,8.24,42000.0,9000.0,2017,monitoring (2015-18)
12.8,17.09,32000.0,16000.0,2017,monitoring (2015-18)
10.81,28.99,60000.0,26625.0,2015,monitoring (2015-18)
18.02,28.72,140000.0,18000.0,2018,monitoring (2015-18)
36.12,24.99,90000.0,31475.0,2015,monitoring (2015-18)
17.6,30.89,42000.0,11200.0,2016,monitoring (2015-18)
15.4,16.99,90000.0,22750.0,2015,monitoring (2015-18)
15.81,25.88,52000.0,11650.0,2016,monitoring (2015-18)
20.31,30.89,147800.0,15000.0,2018,monitoring (2015-18)
1.25,25.69,50000.0,2975.0,2016,monitoring (2015-18)
7.12,30.49,135000.0,10675.0,2017,monitoring (2015-18)
31.32,29.67,39000.0,15600.0,2016,monitoring (2015-18)
23.78,16.29,310000.0,35000.0,2016,monitoring (2015-18)
10.66,28.49,28000.0,13600.0,2015,monitoring (2015-18)
40.99,30.79,70000.0,12000.0,2018,monitoring (2015-18)
30.08,24.37,32000.0,15000.0,2018,monitoring (2015-18)
25.37,23.99,58562.0,10000.0,2015,monitoring (2015-18)
33.27,13.59,36000.0,20525.0,2018,monitoring (2015-18)
11.1,12.69,85000.0,20000.0,2015,monitoring (2015-18)
31.89,16.99,42000.0,18475.0,2016,monitoring (2015-18)
22.89,30.17,60000.0,25000.0,2018,monitoring (2015-18)
10.39,16.14,120000.0,10000.0,2018,monitoring (2015-18)
20.44,24.99,57000.0,4875.0,2016,monitoring (2015-18)
29.96,30.49,30000.0,10000.0,2017,monitoring (2015-18)
15.66,26.77,150000.0,12000.0,2018,monitoring (2015-18)
26.3,11.44,63000.0,11800.0,2016,monitoring (2015-18)
12.12,25.34,130000.0,30000.0,2018,monitoring (2015-18)
28.54,23.99,55000.0,13175.0,2015,monitoring (2015-18)
20.09,21.85,80000.0,10000.0,2018,monitoring (2015-18)
21.25,23.4,25000.0,2200.0,2018,monitoring (2015-18)
14.74,17.99,400000.0,22350.0,2016,monitoring (2015-18)
18.21,24.99,45000.0,10000.0,2016,monitoring (2015-18)
42.42,26.14,40000.0,18400.0,2016,monitoring (2015-18)
12.3,11.44,171000.0,40000.0,2017,monitoring (2015-18)
19.08,27.49,50000.0,9800.0,2016,monitoring (2015-18)
7.57,10.07,125000.0,20000.0,2018,monitoring (2015-18)
18.77,30.65,75000.0,32000.0,2017,monitoring (2015-18)
23.72,25.34,90000.0,13600.0,2018,monitoring (2015-18)
20.79,5.32,89000.0,5000.0,2017,monitoring (2015-18)
31.82,25.49,30996.0,12000.0,2017,monitoring (2015-18)
9.38,19.42,78000.0,24000.0,2018,monitoring (2015-18)
16.26,14.08,123000.0,19200.0,2017,monitoring (2015-18)
19.5,16.29,52000.0,8000.0,2016,monitoring (2015-18)
18.87,21.97,14000.0,4750.0,2016,monitoring (2015-18)
12.23,6.71,80000.0,15000.0,2018,monitoring (2015-18)
23.77,11.44,131000.0,18000.0,2017,monitoring (2015-18)
12.95,27.49,67000.0,25450.0,2016,monitoring (2015-18)
13.83,23.99,44000.0,15750.0,2015,monitoring (2015-18)
29.65,25.49,82000.0,16000.0,2016,monitoring (2015-18)
19.08,7.49,180000.0,16000.0,2017,monitoring (2015-18)
27.76,7.96,47600.0,6400.0,2018,monitoring (2015-18)
32.14,23.88,51000.0,18575.0,2018,monitoring (2015-18)
25.25,18.25,28000.0,8950.0,2016,monitoring (2015-18)
5.47,13.49,70000.0,18000.0,2016,monitoring (2015-18)
17.54,7.21,65000.0,2500.0,2017,monitoring (2015-18)
14.71,7.35,175000.0,8500.0,2018,monitoring (2015-18)
8.71,10.47,65000.0,12000.0,2018,monitoring (2015-18)
11.46,10.9,230000.0,32000.0,2018,monitoring (2015-18)
11.59,25.83,85000.0,18150.0,2015,monitoring (2015-18)
26.34,18.2,85000.0,16000.0,2015,monitoring (2015-18)
7.21,16.55,200000.0,8000.0,2015,monitoring (2015-18)
33.43,28.18,70000.0,27125.0,2016,monitoring (2015-18)
30.96,9.99,65000.0,15000.0,2015,monitoring (2015-18)
33.73,20.89,94000.0,12000.0,2018,monitoring (2015-18)
32.19,30.84,54000.0,10400.0,2017,monitoring (2015-18)
10.96,11.99,31000.0,5000.0,2017,monitoring (2015-18)
18.04,12.69,82000.0,12000.0,2015,monitoring (2015-18)
20.61,30.17,45600.0,23250.0,2017,monitoring (2015-18)
15.95,7.97,47840.0,30000.0,2017,monitoring (2015-18)
22.92,7.07,49000.0,11500.0,2017,monitoring (2015-18)
24.99,27.34,50000.0,13200.0,2016,monitoring (2015-18)
8.76,5.32,123000.0,24000.0,2016,monitoring (2015-18)
37.84,25.89,34000.0,16500.0,2015,monitoring (2015-18)
21.67,30.89,35000.0,12250.0,2018,monitoring (2015-18)
24.99,25.69,41500.0,11900.0,2016,monitoring (2015-18)
15.9,10.99,69000.0,15000.0,2015,monitoring (2015-18)
16.51,13.49,175000.0,32000.0,2017,monitoring (2015-18)
24.95,11.99,17000.0,8500.0,2016,monitoring (2015-18)
25.9,25.49,55000.0,18600.0,2016,monitoring (2015-18)
29.14,13.06,60000.0,15000.0,2018,monitoring (2015-18)
27.69,30.75,50500.0,15000.0,2017,monitoring (2015-18)
22.43,28.69,36000.0,14400.0,2017,monitoring (2015-18)
14.59,23.99,136000.0,30000.0,2016,monitoring (2015-18)
9.3,9.99,140000.0,28000.0,2015,monitoring (2015-18)
9.17,10.42,100000.0,15000.0,2018,monitoring (2015-18)
35.33,17.47,52200.0,22000.0,2018,monitoring (2015-18)
22.57,7.89,72000.0,15200.0,2016,monitoring (2015-18)
22.29,21.48,115000.0,35000.0,2015,monitoring (2015-18)
18.44,6.49,61000.0,6000.0,2015,monitoring (2015-18)
15.64,11.48,42504.0,5000.0,2016,monitoring (2015-18)
31.04,24.37,75000.0,24000.0,2018,monitoring (2015-18)
14.78,10.78,80000.0,3000.0,2016,monitoring (2015-18)
8.95,5.93,117000.0,14000.0,2015,monitoring (2015-18)
16.31,6.99,39000.0,1600.0,2017,monitoring (2015-18)
13.68,5.32,200000.0,25000.0,2017,monitoring (2015-18)
32.33,15.31,77000.0,25000.0,2016,monitoring (2015-18)
35.75,15.05,20000.0,4200.0,2017,monitoring (2015-18)
32.7,30.99,93000.0,27225.0,2016,monitoring (2015-18)
9.49,18.25,20323.0,7300.0,2016,monitoring (2015-18)
21.21,28.18,58054.0,18000.0,2016,monitoring (2015-18)
10.84,5.32,62000.0,7000.0,2016,monitoring (2015-18)
15.71,19.99,64104.0,24000.0,2015,monitoring (2015-18)
21.38,11.49,26500.0,2500.0,2016,monitoring (2015-18)
21.0,27.31,38000.0,19000.0,2015,monitoring (2015-18)
18.87,15.59,80000.0,12000.0,2016,monitoring (2015-18)
9.77,8.38,28000.0,5000.0,2015,monitoring (2015-18)
30.16,28.14,35000.0,12600.0,2016,monitoring (2015-18)
8.96,6.11,150000.0,25000.0,2018,monitoring (2015-18)
24.0,26.14,48000.0,21100.0,2016,monitoring (2015-18)
13.75,11.55,70000.0,15000.0,2018,monitoring (2015-18)
13.45,14.49,95000.0,24000.0,2016,monitoring (2015-18)
27.23,7.97,45000.0,6000.0,2017,monitoring (2015-18)
17.17,20.99,72000.0,12000.0,2015,monitoring (2015-18)
21.57,7.84,105000.0,8000.0,2018,monitoring (2015-18)
28.53,6.24,45000.0,8000.0,2015,monitoring (2015-18)
8.28,10.75,50000.0,2625.0,2016,monitoring (2015-18)
11.21,27.34,65000.0,7600.0,2016,monitoring (2015-18)
25.93,15.31,86000.0,24000.0,2016,monitoring (2015-18)
17.5,6.99,220000.0,30000.0,2016,monitoring (2015-18)
13.98,7.26,48000.0,10000.0,2015,monitoring (2015-18)
31.01,25.8,63000.0,28350.0,2015,monitoring (2015-18)
32.2,10.49,90000.0,18000.0,2016,monitoring (2015-18)
1.8,10.08,86634.0,4000.0,2018,monitoring (2015-18)
23.32,8.39,70000.0,19200.0,2016,monitoring (2015-18)
14.09,13.99,130000.0,24000.0,2016,monitoring (2015-18)
19.86,30.75,74000.0,14000.0,2017,monitoring (2015-18)
15.53,11.55,18000.0,5000.0,2018,monitoring (2015-18)
33.68,16.59,60000.0,20000.0,2016,monitoring (2015-18)
23.68,26.57,50000.0,19000.0,2016,monitoring (2015-18)
18.51,15.05,52000.0,1000.0,2017,monitoring (2015-18)
24.91,30.79,17004.0,16000.0,2017,monitoring (2015-18)
14.8,7.89,36000.0,8000.0,2016,monitoring (2015-18)
40.59,25.44,53675.0,13000.0,2016,monitoring (2015-18)
11.51,7.39,90000.0,20000.0,2016,monitoring (2015-18)
21.71,30.94,150000.0,30000.0,2017,monitoring (2015-18)
21.58,5.32,90000.0,8000.0,2017,monitoring (2015-18)
29.95,26.24,127000.0,29025.0,2016,monitoring (2015-18)
22.65,12.59,73000.0,16000.0,2015,monitoring (2015-18)
27.74,25.69,30500.0,2550.0,2016,monitoring (2015-18)
16.39,19.03,55000.0,11200.0,2017,monitoring (2015-18)
8.34,12.99,130000.0,15000.0,2015,monitoring (2015-18)
21.13,16.99,43000.0,2000.0,2016,monitoring (2015-18)
4.76,10.91,55000.0,6000.0,2017,monitoring (2015-18)
29.89,13.99,96000.0,7000.0,2017,monitoring (2015-18)
4.33,12.73,18000.0,1200.0,2018,monitoring (2015-18)
28.4,27.49,65000.0,5000.0,2016,monitoring (2015-18)
2.56,21.49,90000.0,24350.0,2016,monitoring (2015-18)
29.81,12.29,90000.0,24000.0,2015,monitoring (2015-18)
28.43,28.72,35000.0,16100.0,2017,monitoring (2015-18)
33.71,7.24,100000.0,5000.0,2016,monitoring (2015-18)
22.45,13.33,48000.0,23975.0,2015,monitoring (2015-18)
37.61,14.46,80000.0,21000.0,2016,monitoring (2015-18)
29.62,28.67,85000.0,18200.0,2016,monitoring (2015-18)
3.64,27.88,150000.0,13275.0,2015,monitoring (2015-18)
4.02,17.27,120000.0,16000.0,2016,monitoring (2015-18)
33.89,20.75,55000.0,24000.0,2016,monitoring (2015-18)
25.64,28.18,60000.0,25200.0,2016,monitoring (2015-18)
26.91,18.06,71400.0,21850.0,2017,monitoring (2015-18)
24.32,10.47,34000.0,10000.0,2018,monitoring (2015-18)
16.61,15.59,68800.0,8000.0,2016,monitoring (2015-18)
20.8,19.03,63000.0,20000.0,2017,monitoring (2015-18)
19.8,24.5,92000.0,30000.0,2015,monitoring (2015-18)
25.76,23.4,62000.0,27000.0,2018,monitoring (2015-18)
31.97,30.99,35780.0,14300.0,2016,monitoring (2015-18)
,7.46,0.0,15000.0,2018,monitoring (2015-18)
33.81,23.4,35000.0,30000.0,2018,monitoring (2015-18)
38.13,28.72,40000.0,40000.0,2018,monitoring (2015-18)
25.02,10.91,92000.0,4800.0,2017,monitoring (2015-18)
23.74,16.02,110000.0,14525.0,2017,monitoring (2015-18)
20.04,23.88,54000.0,20000.0,2017,monitoring (2015-18)
46.09,19.99,70000.0,6950.0,2016,monitoring (2015-18)
18.09,7.59,100000.0,7200.0,2016,monitoring (2015-18)
35.0,10.9,100000.0,30000.0,2018,monitoring (2015-18)
13.25,17.99,150000.0,15000.0,2016,monitoring (2015-18)
31.21,16.99,120000.0,20575.0,2016,monitoring (2015-18)
21.63,11.47,87400.0,20000.0,2016,monitoring (2015-18)
26.61,18.99,100000.0,12000.0,2016,monitoring (2015-18)
24.65,6.99,50000.0,7500.0,2016,monitoring (2015-18)
11.52,11.44,62000.0,8400.0,2016,monitoring (2015-18)
26.18,17.86,65000.0,14000.0,2015,monitoring (2015-18)
19.01,30.17,62000.0,24100.0,2017,monitoring (2015-18)
23.26,25.09,96500.0,27000.0,2016,monitoring (2015-18)
22.24,18.06,78300.0,5000.0,2017,monitoring (2015-18)
18.86,30.49,49500.0,14000.0,2017,monitoring (2015-18)
19.19,13.59,60000.0,16000.0,2017,monitoring (2015-18)
25.71,6.24,75000.0,22000.0,2015,monitoring (2015-18)
22.4,23.4,135000.0,30000.0,2018,monitoring (2015-18)
0.88,9.44,26000.0,1500.0,2017,monitoring (2015-18)
6.9,7.34,46000.0,8400.0,2018,monitoring (2015-18)
10.04,12.74,63000.0,12000.0,2017,monitoring (2015-18)
21.25,9.16,43000.0,10000.0,2016,monitoring (2015-18)
19.0,20.5,89000.0,27375.0,2016,monitoring (2015-18)
13.51,11.8,59000.0,6600.0,2018,monitoring (2015-18)
25.73,28.72,75000.0,20000.0,2017,monitoring (2015-18)
26.18,17.86,133000.0,20000.0,2015,monitoring (2015-18)
30.86,14.47,128000.0,12000.0,2018,monitoring (2015-18)
16.63,18.06,85000.0,4000.0,2017,monitoring (2015-18)
17.23,10.75,65000.0,26000.0,2016,monitoring (2015-18)
19.9,28.18,141000.0,35000.0,2016,monitoring (2015-18)
25.23,29.69,40000.0,16300.0,2018,monitoring (2015-18)
28.32,26.77,45760.0,10000.0,2018,monitoring (2015-18)
14.97,6.97,200000.0,12000.0,2016,monitoring (2015-18)
9.49,7.99,21000.0,7000.0,2016,monitoring (2015-18)
17.93,11.99,65000.0,10500.0,2016,monitoring (2015-18)
14.53,22.74,38000.0,12000.0,2017,monitoring (2015-18)
23.72,23.99,38000.0,13425.0,2016,monitoring (2015-18)
22.95,26.77,52500.0,18900.0,2015,monitoring (2015-18)
17.11,7.49,86000.0,27000.0,2017,monitoring (2015-18)
8.79,8.99,50000.0,10000.0,2016,monitoring (2015-18)
14.18,8.24,45600.0,9250.0,2017,monitoring (2015-18)
38.73,30.89,55000.0,18000.0,2018,monitoring (2015-18)
10.3,24.99,85500.0,35000.0,2016,monitoring (2015-18)
36.33,10.47,40000.0,11000.0,2018,monitoring (2015-18)
13.6,19.99,75000.0,5000.0,2017,monitoring (2015-18)
22.38,11.44,50000.0,14400.0,2017,monitoring (2015-18)
19.71,23.99,75000.0,19825.0,2015,monitoring (2015-18)
,26.77,0.0,3375.0,2018,monitoring (2015-18)
35.17,10.08,123800.0,14175.0,2018,monitoring (2015-18)
24.99,11.49,124000.0,10000.0,2017,monitoring (2015-18)
17.15,29.69,90000.0,12000.0,2018,monitoring (2015-18)
22.86,13.59,109000.0,32000.0,2018,monitoring (2015-18)
16.7,19.92,80000.0,20000.0,2018,monitoring (2015-18)
25.21,9.75,81000.0,20000.0,2016,monitoring (2015-18)
8.78,13.59,46384.0,15000.0,2017,monitoring (2015-18)
30.17,30.89,36000.0,15000.0,2016,monitoring (2015-18)
13.82,6.11,105000.0,40000.0,2018,monitoring (2015-18)
34.91,13.99,100000.0,32000.0,2017,monitoring (2015-18)
24.96,17.99,40000.0,1600.0,2016,monitoring (2015-18)
14.07,25.69,50000.0,20000.0,2016,monitoring (2015-18)
12.28,7.07,78000.0,5000.0,2017,monitoring (2015-18)
5.41,7.89,140000.0,5000.0,2016,monitoring (2015-18)
18.01,19.03,125000.0,8000.0,2017,monitoring (2015-18)
28.48,26.49,90000.0,28000.0,2016,monitoring (2015-18)
24.55,5.32,65000.0,8000.0,2016,monitoring (2015-18)
0.36,14.46,78000.0,35000.0,2016,monitoring (2015-18)
15.92,18.25,18777.8,6375.0,2016,monitoring (2015-18)
9.56,5.32,65000.0,8000.0,2017,monitoring (2015-18)
11.99,26.77,94000.0,19825.0,2015,monitoring (2015-18)
,23.99,1000.0,16000.0,2017,monitoring (2015-18)
18.63,28.72,110000.0,25000.0,2018,monitoring (2015-18)
26.56,22.45,77000.0,22075.0,2016,monitoring (2015-18)
33.4,22.91,78000.0,31225.0,2017,monitoring (2015-18)
10.66,5.32,75000.0,25000.0,2015,monitoring (2015-18)
22.8,18.99,70000.0,25000.0,2016,monitoring (2015-18)
5.43,17.99,123000.0,35000.0,2017,monitoring (2015-18)
15.84,16.99,80000.0,13225.0,2015,monitoring (2015-18)
19.94,10.75,75000.0,20000.0,2016,monitoring (2015-18)
7.63,6.99,65000.0,8000.0,2016,monitoring (2015-18)
17.56,23.99,68000.0,6700.0,2016,monitoring (2015-18)
19.54,6.49,86600.0,18000.0,2016,monitoring (2015-18)
14.5,28.72,75000.0,40000.0,2018,monitoring (2015-18)
2.42,7.39,50000.0,5000.0,2016,monitoring (2015-18)
25.15,30.84,120000.0,20000.0,2018,monitoring (2015-18)
36.6,12.69,72225.28,10850.0,2015,monitoring (2015-18)
14.67,30.79,240000.0,25000.0,2018,monitoring (2015-18)
19.67,10.9,92000.0,28000.0,2018,monitoring (2015-18)
13.19,10.47,180000.0,40000.0,2018,monitoring (2015-18)
35.43,9.43,45000.0,25000.0,2018,monitoring (2015-18)
13.98,14.47,39750.0,16000.0,2018,monitoring (2015-18)
15.92,16.01,115000.0,13950.0,2018,monitoring (2015-18)
28.28,6.99,30000.0,5000.0,2016,monitoring (2015-18)
11.73,25.69,74000.0,20000.0,2016,monitoring (2015-18)
25.7,7.07,63000.0,11000.0,2017,monitoring (2015-18)
18.16,7.91,90000.0,17600.0,2016,monitoring (2015-18)
13.62,30.84,70000.0,35000.0,2017,monitoring (2015-18)
23.12,25.89,31200.0,13950.0,2015,monitoring (2015-18)
11.63,9.93,180000.0,20000.0,2017,monitoring (2015-18)
13.43,13.58,52000.0,20500.0,2018,monitoring (2015-18)
5.07,11.53,26500.0,12000.0,2015,monitoring (2015-18)
7.95,20.89,40000.0,24000.0,2018,monitoring (2015-18)
9.95,6.46,280000.0,40000.0,2018,monitoring (2015-18)
10.38,19.03,40000.0,6000.0,2017,monitoring (2015-18)
4.32,6.71,75000.0,40000.0,2018,monitoring (2015-18)
27.24,7.99,46000.0,8000.0,2016,monitoring (2015-18)
10.76,23.13,62000.0,23550.0,2016,monitoring (2015-18)
17.69,11.49,113000.0,30000.0,2016,monitoring (2015-18)
11.95,15.77,105000.0,28000.0,2016,monitoring (2015-18)
7.38,6.72,40810.0,6000.0,2018,monitoring (2015-18)
16.09,15.49,13200.0,5000.0,2018,monitoring (2015-18)
33.0,25.83,34000.0,12175.0,2015,monitoring (2015-18)
39.21,29.69,78800.0,18800.0,2018,monitoring (2015-18)
19.82,12.62,43413.0,20825.0,2017,monitoring (2015-18)
23.19,9.8,104000.0,8400.0,2016,monitoring (2015-18)
23.18,25.29,100000.0,30000.0,2016,monitoring (2015-18)
12.78,24.24,75000.0,6625.0,2016,monitoring (2015-18)
14.49,6.11,125000.0,40000.0,2018,monitoring (2015-18)
9.71,7.49,350000.0,30000.0,2017,monitoring (2015-18)
18.76,7.49,65000.0,10000.0,2016,monitoring (2015-18)
28.09,21.49,70000.0,20000.0,2016,monitoring (2015-18)
34.34,26.31,85000.0,18000.0,2018,monitoring (2015-18)
3.24,17.47,20000.0,2200.0,2018,monitoring (2015-18)
15.38,29.99,65000.0,16000.0,2017,monitoring (2015-18)
61.98,21.85,53538.0,13000.0,2018,monitoring (2015-18)
19.47,7.21,105000.0,16800.0,2017,monitoring (2015-18)
14.34,25.83,135000.0,32225.0,2015,monitoring (2015-18)
30.52,25.8,70000.0,22250.0,2015,monitoring (2015-18)
26.23,30.79,55000.0,15600.0,2018,monitoring (2015-18)
24.24,27.27,50000.0,15000.0,2018,monitoring (2015-18)
20.46,5.32,107000.0,15000.0,2018,monitoring (2015-18)
22.86,10.9,78000.0,14000.0,2018,monitoring (2015-18)
30.39,26.3,68000.0,28000.0,2017,monitoring (2015-18)
16.55,17.86,90000.0,12000.0,2015,monitoring (2015-18)
10.68,8.19,125000.0,20000.0,2018,monitoring (2015-18)
23.12,13.33,52000.0,20600.0,2015,monitoring (2015-18)
19.78,5.32,93000.0,16000.0,2015,monitoring (2015-18)
18.04,26.24,55000.0,22000.0,2016,monitoring (2015-18)
38.57,22.99,65000.0,14425.0,2015,monitoring (2015-18)
9.49,25.34,63000.0,20000.0,2018,monitoring (2015-18)
21.68,28.72,60000.0,27000.0,2017,monitoring (2015-18)
11.82,16.02,250000.0,24000.0,2017,monitoring (2015-18)
7.58,6.08,38000.0,4000.0,2018,monitoring (2015-18)
33.09,30.94,25000.0,10000.0,2017,monitoring (2015-18)
26.15,30.84,85000.0,21000.0,2017,monitoring (2015-18)
2.82,9.44,35300.0,5000.0,2017,monitoring (2015-18)
14.65,16.99,52000.0,13250.0,2015,monitoring (2015-18)
14.08,5.32,71104.0,8000.0,2018,monitoring (2015-18)
14.61,18.99,125000.0,35000.0,2016,monitoring (2015-18)
22.01,11.53,70000.0,30000.0,2015,monitoring (2015-18)
28.56,19.03,115000.0,12800.0,2018,monitoring (2015-18)
8.19,6.72,57000.0,5200.0,2017,monitoring (2015-18)
16.95,26.99,40000.0,18400.0,2016,monitoring (2015-18)
14.73,23.99,44000.0,3200.0,2016,monitoring (2015-18)
11.53,8.24,110000.0,5000.0,2017,monitoring (2015-18)
28.1,13.99,36000.0,7000.0,2015,monitoring (2015-18)
10.17,16.02,110000.0,25000.0,2017,monitoring (2015-18)
20.12,18.25,55000.0,5375.0,2015,monitoring (2015-18)
34.69,30.84,32000.0,10000.0,2016,monitoring (2015-18)
11.99,5.32,120000.0,9000.0,2016,monitoring (2015-18)
33.98,17.47,48000.0,6000.0,2018,monitoring (2015-18)
21.94,12.74,81000.0,10000.0,2017,monitoring (2015-18)
39.84,25.34,40000.0,6200.0,2018,monitoring (2015-18)
5.13,9.93,225000.0,16000.0,2017,monitoring (2015-18)
21.43,10.91,36000.0,6000.0,2017,monitoring (2015-18)
24.72,16.99,104000.0,40000.0,2017,monitoring (2015-18)
11.78,17.14,70000.0,4500.0,2015,monitoring (2015-18)
15.44,23.87,108000.0,15000.0,2018,monitoring (2015-18)
20.24,6.24,98000.0,25000.0,2015,monitoring (2015-18)
8.33,16.02,50000.0,8000.0,2017,monitoring (2015-18)
20.6,13.67,56000.0,21600.0,2016,monitoring (2015-18)
12.42,6.99,46000.0,9000.0,2016,monitoring (2015-18)
18.28,15.05,70000.0,24000.0,2017,monitoring (2015-18)
28.92,24.99,50000.0,22000.0,2016,monitoring (2015-18)
18.45,17.27,75000.0,24000.0,2016,monitoring (2015-18)
14.16,6.89,275000.0,34800.0,2015,monitoring (2015-18)
2.55,7.99,60000.0,5000.0,2016,monitoring (2015-18)
30.81,30.17,150000.0,35000.0,2017,monitoring (2015-18)
12.26,9.75,75000.0,10325.0,2016,monitoring (2015-18)
22.98,8.39,55000.0,7000.0,2016,monitoring (2015-18)
20.17,18.94,150000.0,10000.0,2018,monitoring (2015-18)
18.26,21.45,75377.0,15000.0,2017,monitoring (2015-18)
26.09,11.99,100000.0,10000.0,2017,monitoring (2015-18)
21.07,13.56,115000.0,20000.0,2018,monitoring (2015-18)
33.05,30.89,50000.0,25000.0,2016,monitoring (2015-18)
23.13,20.49,60000.0,28775.0,2015,monitoring (2015-18)
11.43,17.97,94000.0,8825.0,2018,monitoring (2015-18)
32.03,16.99,38000.0,10000.0,2017,monitoring (2015-18)
17.08,24.49,92000.0,16000.0,2016,monitoring (2015-18)
13.34,20.0,83200.0,1500.0,2017,monitoring (2015-18)
17.57,25.29,127000.0,40000.0,2016,monitoring (2015-18)
14.34,7.97,40000.0,4800.0,2017,monitoring (2015-18)
10.81,5.32,93600.0,10500.0,2016,monitoring (2015-18)
30.05,7.97,45000.0,1800.0,2017,monitoring (2015-18)
33.11,13.49,34000.0,19200.0,2017,monitoring (2015-18)
11.72,7.49,255000.0,36000.0,2017,monitoring (2015-18)
9.78,16.29,34600.0,4000.0,2016,monitoring (2015-18)
3.06,6.39,40000.0,12000.0,2015,monitoring (2015-18)
32.65,18.99,185000.0,32000.0,2016,monitoring (2015-18)
19.5,11.99,160000.0,34400.0,2016,monitoring (2015-18)
17.98,7.46,54000.0,12000.0,2018,monitoring (2015-18)
